exp_days,Group
2021-11-07,444.9426935
2021-11-08,427.68924044
2021-11-09,505.0517035
2021-11-10,430.64596984
2021-11-11,508.3335792
2021-11-12,522.69285
2021-11-13,529.5928868
2021-11-14,39.8334664
