exp_days,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2021-11-07,28.6265584,29.65531,29.0472327,31.4226061,26.847707,28.3498163,23.5767209,29.3560689,26.2449515,27.1796039,26.063288,30.2535908,26.2126573,29.9063389,28.0821165,24.1181263
2021-11-08,30.5706016,25.82216685,27.4688254,32.00783608,24.66884734,24.472635,22.3096091,28.6937217,21.10236906,28.0619479,23.8104107,28.9640732,27.764621990000002,31.41434461,25.50210531,25.0551246
2021-11-09,30.5112691,32.9397619,31.970393,36.0777031,29.7599738,32.7078818,28.2028464,32.4938214,29.2188537,31.3081529,29.3216578,33.3684406,31.6428972,35.5855644,33.0332758,26.9092106
2021-11-10,25.24324238,26.7218214,26.3292224,30.6664599,24.83147856,27.7756855,25.0397387,28.1470023,24.1650009,25.7427703,24.388117,27.9615024,28.6857529,32.5763677,26.7584274,25.6133801
2021-11-11,29.9309231,32.3976622,31.5614284,35.8930365,30.3904579,33.0707703,28.7904798,33.1173355,29.6803073,31.2042004,29.210687,33.1220042,31.8462938,37.0595325,32.8405712,28.2178891
2021-11-12,31.7566174,32.6631976,31.811305,37.9927215,29.7227446,32.576237,30.7533729,36.0387897,29.708825400000002,30.6828623,28.8117583,32.9122733,34.1245027,39.1821273,35.0975447,28.8579703
2021-11-13,32.7458478,35.5537503,31.7057912,40.261682,27.8511398,31.6988194,31.9246491,35.700737000000004,33.1003033,31.3932286,29.8992129,35.1632154,33.2757781,34.4400765,36.3987125,28.4799429
2021-11-14,2.4171411000000003,2.496004,2.5102349,2.7458538,2.1393874,2.8728882000000002,2.4470568,2.6010894,2.508665,2.2539939,2.6753548,2.5992142,2.3719099999999997,2.4773186,2.5344776,2.1828767
