exp_days,subjectsID,actual_foodupa,kcal_hr,actual_allmeters,bodymass,actual_wheelmeters,rq,actual_pedmeters
0,1.0,0.0,0.4617532,2.584852,16.3292,90.66,0.8902258,2.210261
0,4.0,0.0,0.4914097,4.507522,18.27759,114.0348,0.9327376,3.976356
0,7.0,0.0,0.2733211,7.032237,15.35924,2.52539,0.8770514,6.079361
0,10.0,0.0,0.402641,4.615499,15.44762,43.94118,4.496472,3.925205
0,13.0,0.0,0.3917136,4.779758,17.43254,22.21621,1.751074,4.158593
0,3.0,0.0,0.379281,3.732813,17.46078,1.280755,0.9730973,2.988386
0,5.0,0.0,0.3870585,3.47647,15.25286,94.98206,0.7866822,3.087263
0,9.0,0.0,0.3567728,4.756597,17.64951,1.271424,0.154571,3.915262
0,12.0,0.0,0.2608985,0.1956664,16.75233,1.0836,-0.4134769,0.06353906
0,16.0,0.0,0.3164943,0.1027115,15.53945,1.0836,0.2087978,0.0979334
0,2.0,0.0,0.3911925,4.517506,18.0318,17.85652,1.00815,3.924344
0,6.0,0.0,0.4343076,5.667737,17.4942,8.606794,0.9116924,4.583843
0,8.0,0.0,0.5112854,4.330646,17.62093,85.63179,0.9085975,3.727601
0,11.0,0.0,0.2796666,0.9923336,17.59244,1.0836,0.3747525,0.9521607
0,14.0,0.0,0.454064,8.749281,16.57681,6.830593,3.104807,7.741908
0,15.0,0.0,0.4977927,1.973322,16.77756,179.0983,2.094697,1.8628
1,1.0,2.0728429999999984,31.9855025,4.087392333333333,17.160448055555555,71.51420833333333,0.8102384736111111,3.376154708333333
1,4.0,5.350621999999999,36.2307748,3.296245527777778,18.246235694444444,74.25591944444444,0.8639069402777778,2.8402297777777776
1,7.0,4.4741339999999985,27.6515444,2.446630041666667,16.4244825,137.41949458333335,0.8652489319444444,2.078481097222222
1,10.0,2.1712119999999984,31.1065809,2.4780680694444444,15.295445833333332,92.78938638888889,1.018644547013889,2.1770471527777775
1,13.0,3.0543989999999988,33.4729647,1.8870950277777778,17.069427083333334,149.91935819444444,0.8534804361111111,1.6146750972222224
1,3.0,3.2188869999999983,32.0075823,2.7561275972222226,17.186109861111113,100.87528118055556,0.8693190888888889,2.402366861111111
1,5.0,3.2726229999999985,27.9337485,3.21197125,15.61662736111111,87.5915686111111,0.8531693666666667,2.690344958333333
1,9.0,3.2439409999999986,28.6740412,2.3200653194444443,17.739940833333335,69.36360522222223,0.6910169722222222,1.778146361111111
1,12.0,4.499236999999998,32.3872946,2.810456022222222,17.735967916666667,99.74224166666666,0.9051814625000001,2.252813346388889
1,16.0,3.811957999999999,31.2223849,3.6282026180555556,16.245348194444446,118.49371388888888,0.9080043874999999,3.262556480555556
1,2.0,5.162907999999999,34.7988141,2.6526610277777776,18.225525972222222,109.56145111111111,0.8564789722222222,2.2513049444444446
1,6.0,2.3276639999999986,31.7473609,2.3431494861111113,17.37855125,83.00373897222222,0.8285520138888889,1.9660966249999998
1,8.0,1.860182999999999,32.287425,2.833147972222222,17.574936666666666,110.84623902777777,0.8300733569444445,2.3781069305555556
1,11.0,1.5461359999999986,28.8295719,3.3329148111111113,17.260864166666668,43.56785277777778,0.8706671777777778,2.860483879166667
1,14.0,3.361685999999999,32.967421,2.211634986111111,16.774664444444443,139.6463806527778,0.8330169833333333,1.9126776666666667
1,15.0,4.615871999999999,31.5214012,2.668809416666667,16.845988472222224,103.95895416666667,0.845125161111111,2.2612194444444444
2,1.0,0.0192499999999999,31.764203600000002,3.497541666666667,16.568869166666666,119.31565277777776,0.6897300402777778,2.847527777777778
2,4.0,0.8572679999999995,37.0005901,3.3778111111111113,18.35809652777778,131.96679166666667,0.8388159041666667,2.913847222222222
2,7.0,0.0041349999999997,27.9303614,2.686845833333333,16.15153111111111,156.7764027777778,0.8683018444444444,2.2069916666666667
2,10.0,0.0,27.956663,3.0043597222222225,15.180224861111112,123.37601388888889,0.7651873777777778,2.431575
2,13.0,0.0780579999999999,32.0805489,2.8108569444444447,16.26963138888889,174.51638888888888,0.7903829069444445,2.1340458333333334
2,3.0,0.10194599999999979,31.5493835,3.4876763888888886,16.888148194444444,148.65831944444443,0.7506886805555556,2.956379166666667
2,5.0,0.0037410000000002,27.9528099,2.404623611111111,15.450150277777778,134.59812499999998,0.7230686625,1.8287666666666667
2,9.0,0.0181330000000001,28.2590142,2.935086111111111,17.68990875,87.54679166666666,0.7958865847222223,2.144633333333333
2,12.0,0.0328460000000001,30.900766,2.9289097222222225,17.37147388888889,120.29020833333334,0.7862170402777777,2.267236111111111
2,16.0,0.0115309999999997,30.8704585,2.921402777777778,16.172228472222223,183.10054166666666,0.7495823986111111,2.4548208333333332
2,2.0,0.0048019999999997,33.4520373,3.2140000000000004,18.390496249999998,125.4079027777778,0.77153125,2.559845833333333
2,6.0,0.0869859999999999,31.8669402,2.8319513888888883,16.09301486111111,150.60783333333333,0.7236967875,2.283815277777778
2,8.0,0.1127869999999999,31.2663114,3.1571611111111113,17.717185416666666,157.22637500000002,0.7156887330555555,2.5838111111111113
2,11.0,0.005357,28.3424227,3.586995833333334,16.71952375,97.1897361111111,0.7694163902777778,3.088984722222222
2,14.0,0.0,31.8194257,2.6850791666666667,16.808014166666666,113.56569444444442,0.8411761055555556,2.0022583333333333
2,15.0,0.0934879999999998,31.0511757,2.859695833333333,16.845035694444444,156.29440277777778,0.7701800458333333,2.204918055555555
3,1.0,3.4130379999999985,27.7346365,2.4852388888888886,16.857255694444447,34.78472222222222,0.8556674722222222,1.8753541666666669
