Date_Time_1,subjectID,Group,actual_allmeters,actual_foodupa,actual_pedmeters,actual_waterupa,actual_wheelmeters,bodymass,envirolightlux,envirooccupancy,envirorh,envirosound,envirotemp,kcal_hr,rq,vco2,vh2o,vo2,xbreak,ybreak
11/07/2021 11:23:00,6,Group,3.6875560000000003,0.14990451999999999,2.405339,0.25191851,0.0,20.87149,,,,,,0.4336935,0.8802728,1.294716,0.1618636,1.470761,203.0,330.0
11/07/2021 11:23:00,7,Group,2.951003,0.0,2.190752,0.5185961,0.0,18.37132,,,,,,0.387656,0.9555917,1.234831,0.1784849,1.292872,143.0,206.0
11/07/2021 11:23:00,8,Group,3.402892,0.7093106,2.530025,0.39391869999999995,0.5637730000000001,18.42345,,,,,,0.399015,0.9311394,1.246081,0.204042,1.337753,179.0,214.0
11/07/2021 11:23:00,9,Group,4.093158,0.2507315,3.1338730000000004,0.3225554,0.0,19.74217,,,,,,0.4323147,0.9146429,1.328744,0.1485027,1.45538,275.0,359.0
11/07/2021 11:43:00,1,Group,0.4976109999999996,0.0,0.020711000000000146,0.0,0.0,19.32262,,,,,,0.366533,0.6810517,0.8866631,0.1980455,1.301252,22.0,41.0
11/07/2021 11:43:00,10,Group,0.6255550000000003,0.003832599999999964,0.5224529999999996,0.0,0.0,17.17988,,,,,,0.3351763,0.9745035,1.083123,0.2341997,1.113509,32.0,59.0
11/07/2021 11:43:00,11,Group,3.2657180000000015,0.06959869999999999,2.2096869999999997,0.35870110000000005,0.0,19.79691,,,,,,0.4159351,0.9548101,1.324894,0.2387053,1.387191,177.0,336.0
11/07/2021 11:43:00,12,Group,1.9163680000000003,0.12849289999999997,1.316522,0.4307788,0.4319350000000002,18.64733,,,,,,0.3420659,1.028461,1.131526,0.2179653,1.129061,9.0,22.0
11/07/2021 11:43:00,13,Group,3.8936719999999996,0.18115140000000002,2.9406170000000005,0.11029489999999997,1.2708220000000001,18.72278,,,,,,0.4287425,0.9296906,1.336632,0.2151877,1.43806,154.0,230.0
11/07/2021 11:43:00,14,Group,4.090123,0.2483206,2.8282510000000003,0.015393569999999995,0.0,19.80707,,,,,,0.430299,0.9328573,1.345247,0.2266586,1.442225,299.0,319.0
11/07/2021 11:43:00,15,Group,1.33188,0.1887274,1.0797999999999988,0.27763969999999993,0.0,19.55629,,,,,,0.3799125,0.9617394,1.217039,0.2307947,1.265118,24.0,30.0
11/07/2021 11:43:00,16,Group,0.6579090000000001,0.022487300000000043,0.5134540000000003,0.0,0.0117389999999995,18.36495,,,,,,0.3087693,0.9431062,0.9737473,0.2096546,1.032528,0.0,0.0
11/07/2021 11:43:00,2,Group,1.6510119999999997,0.20482069999999997,1.1224450000000008,0.0,0.0,19.11831,0.0,0.0,0.0,0.0,0.0,0.3517474,0.9437602,1.109932,0.1821302,1.176065,51.0,62.0
11/07/2021 11:43:00,3,Group,2.4909799999999995,0.057448700000000005,1.699097,0.10703260000000003,0.0,17.87802,,,,,,0.3299191,0.937571,1.038697,0.2042335,1.103744,71.0,35.0
11/07/2021 11:43:00,4,Group,1.5513190000000003,0.1954859,1.0873140000000001,0.3757202,0.0,20.63379,,,,,,0.4302666,0.904571,1.315335,0.2487524,1.450482,6.0,10.0
11/07/2021 11:43:00,5,Group,1.6984789999999998,0.23539529999999997,1.2161309999999999,0.23565419999999998,0.30401,17.76475,,,,,,0.4074653,0.9563576,1.298771,0.2095422,1.358703,146.0,220.0
11/07/2021 11:43:00,6,Group,3.3556289999999995,0.21512840000000003,2.1630209999999996,0.36393149999999996,0.43313900000000016,20.87149,,,,,,0.4448418,0.9416144,1.401842,0.1921687,1.487844,312.0,400.0
