subjectsID,,actual_foodupa_sum,kcal_hr_sum,kcal_mean_mean,actual_allmeters_mean,bodymass_mean,rq_mean,actual_pedmeters_mean,vco2_mean,vo2_mean,locomotion_mean,actual_waterupa_sum
1.0,Day,21.645612499999988,168.7306975,0.4793485724431818,3.4199756818181815,29.742281931818184,1.013718615625,2.6586993465909092,1.6087702982954546,1.5757023661931817,441.5056818181818,12.626919939999988
1.0,Night,18.571647499999987,281.4342403,0.39694533187588155,1.483208688293371,29.778163018335686,0.9380359165021157,1.0799880535966149,1.2492613696755994,1.3281077062059239,213.81100141043723,9.221658059999992
4.0,Day,20.308752199999986,172.5594359,0.4902256701704546,1.6671350000000003,30.02076548295455,0.9578789934659091,1.1228450568181816,1.5614603252840908,1.63497915625,222.48863636363637,13.442687799999995
4.0,Night,17.00593779999999,298.5797787,0.42112803765867424,1.0220446826516218,30.130813159379407,0.9040121235543018,0.6346750916784204,1.2869138736248238,1.4198106658674188,151.52468265162202,12.28747419999999
7.0,Day,17.73904279999999,136.0227846,0.3864283653409091,1.716709943181819,28.4983678125,0.9461599832386363,1.1194629261363636,1.2465077241477274,1.2844037272727273,248.42045454545453,5.843450499999992
7.0,Night,20.299307199999987,252.6521347,0.3563499784203103,1.471992383638928,28.575679633286317,0.9351881098730607,0.962284837799718,1.1200650650211565,1.1926856973201692,214.950634696756,7.855742499999989
10.0,Day,18.651337299999994,153.2644944,0.4354104954545454,2.1091111079545453,25.084981164772728,0.9134319627840909,1.5821404545454547,1.3554157642045455,1.4609875332386364,262.57954545454544,12.066972699999992
10.0,Night,23.724672699999978,294.4991914,0.4153726253878702,1.7743114104372355,25.162305895627643,0.8845304135401973,1.3074615796897038,1.2448002251057828,1.4072895404795487,227.16643159379407,15.616766299999982
13.0,Day,19.44693389999999,162.8929522,0.46276406875,1.6879201704545452,29.61918034090909,0.9678105124999999,1.1985665454545456,1.4743817553977272,1.5432804491477272,240.0284090909091,11.775959929999988
13.0,Night,22.080946099999988,283.3071035,0.39958688787023977,0.9503686882933711,29.535271480959096,0.8910018923836388,0.6421300084626234,1.2050426294781382,1.3516884819464035,148.01833568406207,11.433803069999987
3.0,Day,21.039117299999987,162.3008465,0.46108195028409094,2.1329233238636363,29.549705539772727,0.9992995457386363,1.5636348863636365,1.5219359764204545,1.52282109375,231.2130681818182,16.12580559999999
3.0,Night,18.888102699999994,274.8274693,0.38762689605077577,1.08811634696756,29.675808899858954,0.9033715221438646,0.7337630747531735,1.1839793272214385,1.307020318899859,138.44005641748942,10.43289939999999
5.0,Day,17.501282299999996,60.9150013318,0.17305398105625,1.2948839772727272,23.17190994318182,0.8497396155255682,1.019462775568182,0.5811768691477273,0.5687519412386364,105.42613636363636,12.092120708999989
5.0,Night,14.67330769999999,107.82804922117,0.15208469565750354,0.6381546403385049,23.493645133991535,0.746923921964739,0.43892200705218615,0.4634833447940761,0.5131013310913681,71.31875881523273,7.9574352909999915
9.0,Day,17.426853699999995,155.9752007,0.443111365625,1.9141548579545455,27.254442414772726,0.9231834193181818,1.4040870738636366,1.4298447085227273,1.472667109375,237.9090909090909,10.033578159999992
9.0,Night,15.419726299999994,270.4932677,0.3815137767277856,1.0238480818053597,27.398184696755994,0.8796532884344147,0.6837879407616361,1.1286996363892807,1.2966813558533146,148.42595204513398,6.448115839999994
12.0,Day,30.13237699999999,145.3488767,0.4129229451704546,1.8432834090909085,25.777681732954544,1.0018791920454546,1.3869716193181818,1.31596484375,1.3769581127840909,206.55113636363637,16.28085129999999
12.0,Night,49.34809299999999,266.3977892,0.3757373613540197,1.3941364456981669,25.905223244005644,0.8571974327221439,0.9788610578279268,1.102345681100141,1.2796485609308885,186.36248236953455,15.885508699999988
16.0,Day,20.305284599999986,151.2993007,0.42982755880681817,2.1063638920454544,27.63751840909091,0.9329035065340908,1.4555411079545457,1.371667615625,1.432816109659091,297.0198863636364,14.538535499999993
16.0,Night,21.734065399999995,268.5700841,0.3788012469675599,1.2546842172073345,27.638509012693937,0.8068496167277855,0.8433127362482368,1.1199299318758815,1.2876710554301833,185.42031029619181,13.962425499999991
2.0,Day,18.067347499999993,151.8847282,0.4314907051136364,1.879078778409091,26.685307982954544,1.0115220616477272,1.4006351704545452,1.424630111931818,1.4249862303977272,221.8693181818182,17.603561499999987
2.0,Night,10.510552499999992,254.2355543,0.3585832923836389,1.1320697743300423,26.4714410719323,0.857310564315938,0.8398293653032443,1.0583197162200282,1.2194586856135403,138.19887165021157,9.26870549999999
6.0,Day,21.11178319999999,145.0796848,0.41215819545454546,2.106441221590909,25.006289857954542,1.0721581428977272,1.6123915909090905,1.4317789085227273,1.3412220167613638,259.6193181818182,10.56813616999999
6.0,Night,10.208266799999995,233.5518279,0.3294101944992948,0.977628053596615,24.57817262341326,0.906448653596615,0.6544416925246828,1.003233674471086,1.1115436359661495,148.787023977433,4.5396728299999936
8.0,Day,19.512113099999993,145.729903,0.41400540625000004,2.4373164204545446,22.793661732954543,1.0447800363636364,2.0826142045454543,1.4046725107954545,1.3566410519886363,212.0028409090909,10.357876152999985
8.0,Night,15.089366899999987,244.2864219,0.34455066558533143,1.441802284908322,22.58282915373766,0.8853428267983074,1.1950181946403384,1.0367197870239773,1.1661758433004232,142.96897038081806,7.904191846999992
11.0,Day,26.556861999999988,139.4895276,0.39627706704545457,3.116553267045454,20.852579176136363,0.9900222928977273,2.723411647727273,1.2932853139204545,1.3129267130681817,280.39204545454544,8.550165369999986
