subjectsID,actual_foodupa_sum,kcal_hr_sum,kcal_mean_mean,actual_allmeters_mean,bodymass_mean,rq_mean,actual_pedmeters_mean,vco2_mean,vo2_mean,locomotion_mean,actual_waterupa_sum
1.0,50.60465699999997,561.8191455,0.41989472757847535,1.9029818385650223,27.046443841554563,0.9053644598654709,1.4160506726457398,1.2859859104633782,1.4148553819880418,248.2578475336323,20.008226999999977
4.0,47.354941999999966,576.2091883,0.4306496175635277,1.318167563527653,27.862577810164424,0.8907669228699552,0.9340650971599402,1.2992744290732436,1.4566090005979073,167.11883408071748,28.790662999999977
7.0,45.06633999999997,516.9520297,0.3863617561285501,1.5350614349775782,26.90333695814649,0.8956056713004484,1.0295283258594918,1.1708818428998504,1.30534567264574,217.74663677130044,9.08976699999998
10.0,54.14072999999996,542.0308401,0.4051052616591928,1.9936413303437968,23.964487668161436,0.89906690754858,1.5206541853512707,1.2452547044095665,1.363740854484305,237.0545590433483,30.11437499999997
13.0,49.490759999999966,535.6732061,0.4003536667414051,1.08584043348281,28.40232322869955,0.9311182627055306,0.7764086696562034,1.249256206651719,1.3425231414798207,131.73617339312406,25.74114299999997
3.0,54.42836999999998,584.0236325,0.4364900093423019,1.7087909566517188,29.354284095665175,0.8970294904334829,1.2269948430493274,1.3317066416292975,1.4722065283258594,202.57174887892376,33.632616999999975
5.0,43.969902999999974,463.0601438,0.34608381449925263,1.1389751868460387,23.571275732436472,0.9100234513452915,0.7554461136023917,1.0611414940956652,1.1658059091928252,151.20777279521675,16.775908999999977
9.0,40.20212899999998,502.0933047,0.37525658049327354,1.407489312406577,26.482742929745893,0.9567752818385651,1.032041629297459,1.1840789655455906,1.2546777504484306,170.67713004484304,20.18070299999998
12.0,115.58761999999997,511.1834284,0.38205039491778775,2.0200091928251123,24.651391487294468,0.9157520533632287,1.630398355754858,1.1789645221973095,1.2848443953662183,202.51569506726457,43.99214899999997
16.0,49.09454999999998,476.2085386,0.3559107164424514,1.6417174887892376,26.90819946935725,0.8876847831838565,1.0994372197309417,1.0930379183109118,1.1984129316143497,248.92451420029894,19.00743999999998
2.0,45.46994899999997,520.9083844,0.38931867294469363,1.4529452914798207,25.532559394618833,0.8842444767563528,1.0969647234678623,1.1784702553064275,1.315720988639761,166.30568011958147,24.12303299999997
6.0,39.97278899999998,480.0167014,0.358756876980568,1.5557122571001496,23.828637234678624,0.9074516610612856,1.2261459641255605,1.1020150647234679,1.207930119581465,183.60463378176382,14.338706999999976
8.0,74.94027399999997,482.019239,0.3602535418535127,1.6509875934230196,21.725289417040358,0.9019671360239163,1.3877859491778775,1.1019732412556054,1.214271315321375,152.4133034379671,17.86926199999997
11.0,91.84841999999996,445.2598661,0.33278016898355756,1.710649850523169,20.715352100149477,0.9202705265321375,1.4199220478325858,1.0160892454409567,1.122187630044843,163.5814648729447,11.850113999999975
14.0,34.96548799999998,494.2581444,0.3694007058295964,2.2976543348281018,24.23934826606876,0.923200180941704,1.8461770553064276,1.1570811949177877,1.2374896281763827,244.1494768310912,30.753409999999974
15.0,39.72445799999998,524.4811703,0.39198891651718987,2.3259018684603885,25.4945381838565,0.8806720386397607,1.8332952167414052,1.174664842974589,1.3280815260089687,242.97832585949178,12.580510999999976
