Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
5,57,2021/08/07,20:06:33,2021/08/07,20:15:09,19.48,8.62,0.006,0.001,3172.79,13.39,0,7.835
5,58,2021/08/07,20:21:14,2021/08/07,20:21:46,6.08,0.55,0.002,0.003,197.75,3.92,0.002,7.837
5,59,2021/08/07,20:54:22,2021/08/07,21:03:36,32.6,9.25,0.156,0.017,3474.49,347.74,0,7.994
5,60,2021/08/07,21:52:16,2021/08/07,22:05:36,48.67,13.35,0.17,0.013,4970.95,450.46,0,8.164
5,61,2021/08/07,22:09:29,2021/08/07,22:11:49,3.88,2.35,0.014,0.006,868.88,18.74,0,8.178
5,62,2021/08/07,22:28:45,2021/08/07,22:35:00,16.93,6.27,0.007,0.001,2308.29,21.63,0,8.185
5,63,2021/08/07,23:37:24,2021/08/07,23:41:48,62.4,4.42,0.007,0.002,1634.95,15.87,0,8.192
5,64,2021/08/08,00:35:23,2021/08/08,00:36:43,53.58,1.35,0.013,0.01,494.74,41.2,0,8.205
5,65,2021/08/08,02:30:30,2021/08/08,02:40:30,113.78,10.02,0.005,0,3689.17,11.74,0,8.21
5,66,2021/08/08,02:55:27,2021/08/08,03:11:00,14.95,15.57,0.298,0.019,5794.8,594.88,0,8.508
5,67,2021/08/08,03:18:40,2021/08/08,03:28:50,7.67,10.18,0.219,0.022,3808.91,444.25,0,8.727
5,68,2021/08/08,04:24:38,2021/08/08,04:30:00,55.8,5.38,0.035,0.006,1985.29,119.24,0,8.762
5,69,2021/08/08,06:13:37,2021/08/08,06:16:21,103.62,2.75,0.045,0.016,1016.67,91.25,0,8.806
5,70,2021/08/08,12:21:43,2021/08/08,12:27:15,365.37,5.55,0.117,0.021,2065.53,135.73,0,8.924
5,71,2021/08/08,14:57:07,2021/08/08,15:02:41,149.87,5.58,0.116,0.021,2071.87,267.12,0,9.04
5,72,2021/08/08,15:44:58,2021/08/08,15:47:54,42.28,2.95,0.111,0.038,1101.82,253.11,0,9.151
5,73,2021/08/08,16:15:44,2021/08/08,16:17:13,27.83,1.5,0.04,0.026,554.21,57,0,9.191
6,1,2021/08/04,14:05:42,2021/08/04,14:09:57,0,4.27,0.007,0.002,1694.69,12.99,0,0.007
6,2,2021/08/04,16:30:13,2021/08/04,16:43:12,140.27,13,0.369,0.028,5174.39,1186.8,0,0.376
6,3,2021/08/04,17:03:01,2021/08/04,17:07:02,19.82,4.03,0.096,0.024,1606.32,250.77,0,0.472
6,4,2021/08/04,17:34:15,2021/08/04,17:37:45,27.22,3.52,0.101,0.029,1398.29,252.8,0,0.572
6,5,2021/08/04,17:47:59,2021/08/04,17:54:26,10.23,6.47,0.823,0.127,2561.67,2239.21,0,1.395
6,6,2021/08/04,18:45:48,2021/08/04,18:46:47,51.37,1,0.006,0.006,389.03,11.6,0,1.401
6,7,2021/08/04,19:21:44,2021/08/04,19:22:49,34.95,1.1,0.022,0.02,432.02,46.6,0,1.423
6,8,2021/08/04,19:28:40,2021/08/04,19:29:59,5.85,1.33,0.037,0.028,525.78,74.71,0,1.46
6,9,2021/08/04,19:39:50,2021/08/04,19:40:26,9.85,0.62,0.009,0.014,237.22,13.17,0,1.469
6,10,2021/08/04,21:22:45,2021/08/04,21:23:34,102.32,0.83,0.004,0.005,326.69,9.31,0,1.473
6,11,2021/08/04,21:49:06,2021/08/04,21:51:11,25.53,2.1,0.005,0.002,826.42,10.96,0,1.478
6,12,2021/08/04,22:54:40,2021/08/04,22:57:45,63.48,3.1,0.051,0.016,1219.54,106.81,0,1.529
6,13,2021/08/04,23:12:03,2021/08/04,23:22:57,14.3,10.92,0.054,0.005,4314.05,147.61,0,1.583
6,14,2021/08/04,23:25:39,2021/08/04,23:38:33,2.7,12.92,0.323,0.025,5105.36,827.8,0,1.905
6,15,2021/08/05,04:29:37,2021/08/05,04:46:41,291.07,17.08,0.49,0.029,6775.19,958.51,0,2.395
6,16,2021/08/05,05:13:52,2021/08/05,05:14:48,27.18,0.95,0.013,0.013,366.96,6.93,0,2.407
6,17,2021/08/05,11:39:22,2021/08/05,11:40:09,384.57,0.8,0.006,0.007,307.89,11.93,0,2.413
6,18,2021/08/05,16:30:07,2021/08/05,16:39:39,289.97,9.55,0.369,0.039,3764.97,678.61,0,2.782
6,19,2021/08/05,16:54:02,2021/08/05,16:57:48,14.38,3.78,0.119,0.031,1488.52,291.32,0,2.901
6,20,2021/08/05,17:16:38,2021/08/05,17:20:07,18.83,3.5,0.09,0.026,1372.07,246.2,0,2.991
6,21,2021/08/05,17:41:30,2021/08/05,17:46:29,21.38,5,0.078,0.016,1969.89,234.85,0,3.069
6,22,2021/08/05,18:06:02,2021/08/05,18:09:31,19.55,3.5,0.108,0.031,1375.29,235.49,0,3.177
6,23,2021/08/05,18:16:22,2021/08/05,18:19:48,6.85,3.45,0.071,0.02,1354.69,214.55,0,3.248
6,24,2021/08/05,18:38:19,2021/08/05,18:41:24,18.52,3.1,0.059,0.019,1215.1,146.28,0,3.307
6,25,2021/08/05,18:44:59,2021/08/05,18:50:20,3.58,5.37,0.068,0.013,2111.67,218.67,0,3.374
6,26,2021/08/05,18:59:17,2021/08/05,19:02:48,8.95,3.53,0.121,0.034,1400.01,408.79,0,3.495
6,27,2021/08/05,19:09:52,2021/08/05,19:14:10,7.07,4.32,0.072,0.017,1707.54,163.48,0,3.567
6,28,2021/08/05,19:19:10,2021/08/05,19:22:02,5,2.88,0.115,0.04,1129.34,320.2,0,3.682
6,29,2021/08/05,19:24:39,2021/08/05,19:32:17,2.62,7.65,0.025,0.003,3002.73,50.92,0,3.708
6,30,2021/08/05,20:22:09,2021/08/05,20:22:39,49.87,0.52,0.003,0.005,198.68,5.67,0,3.711
6,31,2021/08/05,20:54:51,2021/08/05,20:55:41,32.2,0.85,0.008,0.01,335.28,21.69,0,3.719
6,32,2021/08/05,20:58:17,2021/08/05,20:59:17,2.6,1.02,0.02,0.02,400.23,11.18,0,3.739
6,33,2021/08/05,23:35:30,2021/08/05,23:38:05,156.22,2.6,0.034,0.013,1010.62,99.11,0,3.773
6,34,2021/08/06,02:27:11,2021/08/06,02:33:25,169.1,6.25,0.002,0,2449.83,3.94,0.001,3.775
6,35,2021/08/06,04:30:07,2021/08/06,04:52:30,116.7,22.4,0.581,0.026,8781.28,1367.45,0,4.356
6,36,2021/08/06,04:55:22,2021/08/06,04:57:30,2.87,2.15,0.005,0.002,832.96,7.65,0,4.361
6,37,2021/08/06,06:25:34,2021/08/06,06:28:56,88.07,3.38,0.001,0,1318.45,2.27,0.039,4.362
6,38,2021/08/06,11:47:13,2021/08/06,11:47:44,318.28,0.53,0.002,0.005,201.23,7.64,0,4.365
6,39,2021/08/06,12:04:38,2021/08/06,12:05:25,16.9,0.8,0.026,0.033,305.61,83.84,0,4.391
6,40,2021/08/06,16:30:13,2021/08/06,16:45:02,264.8,14.83,0.407,0.027,5815.13,1563.55,0,4.797
6,41,2021/08/06,16:54:30,2021/08/06,16:57:09,9.47,2.67,0.099,0.037,1036.73,229.7,0,4.896
6,42,2021/08/06,17:15:13,2021/08/06,17:18:34,18.07,3.37,0.071,0.021,1307.37,316.37,0,4.967
6,43,2021/08/06,17:27:19,2021/08/06,17:28:32,8.75,1.23,0.028,0.023,476.21,82.4,0,4.996
6,44,2021/08/06,17:39:35,2021/08/06,17:41:18,11.05,1.73,0.035,0.02,669.15,76.87,0,5.031
6,45,2021/08/06,17:51:00,2021/08/06,17:53:06,9.7,2.12,0.075,0.036,817.68,166.5,0,5.106
6,46,2021/08/06,17:56:07,2021/08/06,17:59:16,3.02,3.17,0.089,0.028,1225.61,172.36,0,5.195
6,47,2021/08/06,18:05:59,2021/08/06,18:08:42,6.72,2.73,0.071,0.026,1058.07,143.21,0,5.266
6,48,2021/08/06,18:13:41,2021/08/06,18:16:34,4.98,2.9,0.073,0.025,1124.04,127.58,0,5.339
6,49,2021/08/06,18:29:04,2021/08/06,18:34:15,12.5,5.2,0.075,0.014,2013.47,139.2,0,5.414
6,50,2021/08/06,18:41:51,2021/08/06,18:45:33,7.6,3.72,0.918,0.247,1442.57,2635.83,0,6.332
6,51,2021/08/06,18:48:51,2021/08/06,18:49:21,3.3,0.52,0.003,0.006,193.56,6.94,0,6.335
6,52,2021/08/06,19:17:08,2021/08/06,19:18:20,27.78,1.22,0.014,0.011,467.46,40.92,0,6.349
6,53,2021/08/06,19:53:51,2021/08/06,19:55:43,35.52,1.88,0.009,0.005,727.42,15.58,0,6.358
6,54,2021/08/06,20:00:19,2021/08/06,20:01:12,4.6,0.9,0.002,0.002,344.31,4.11,0.001,6.36
6,55,2021/08/06,21:21:24,2021/08/06,21:22:48,80.2,1.42,0.004,0.003,543.91,7.69,0,6.363
6,56,2021/08/06,21:29:38,2021/08/06,21:34:53,6.83,5.27,0.015,0.003,2041.04,48,0,6.378
6,57,2021/08/06,21:45:14,2021/08/06,21:51:19,10.35,6.1,0.026,0.004,2359.54,56.36,0,6.404
6,58,2021/08/06,22:29:10,2021/08/06,23:10:15,37.85,41.1,0.901,0.022,15973.32,1977.79,0,7.306
6,59,2021/08/07,00:01:46,2021/08/07,00:17:20,51.52,15.58,0.28,0.018,6029.24,1097.79,0,7.585
6,60,2021/08/07,02:16:25,2021/08/07,02:17:08,119.08,0.73,0.003,0.004,279.89,5.45,0,7.588
6,61,2021/08/07,04:30:12,2021/08/07,05:01:36,133.07,31.42,0.652,0.021,12128.45,935.88,0,8.24
6,62,2021/08/07,05:04:29,2021/08/07,05:05:35,2.88,1.12,0.004,0.003,423.61,7.17,0,8.244
6,63,2021/08/07,12:03:17,2021/08/07,12:04:02,417.7,0.77,0.001,0.002,292.18,2.22,0.044,8.245
6,64,2021/08/07,16:30:13,2021/08/07,16:39:55,266.18,9.72,0.152,0.016,3745.11,320.13,0,8.397
6,65,2021/08/07,17:11:17,2021/08/07,17:13:42,31.37,2.43,0.072,0.029,932.92,175.48,0,8.469
6,66,2021/08/07,17:26:28,2021/08/07,17:29:31,12.77,3.07,0.071,0.023,1178.04,183.43,0,8.54
6,67,2021/08/07,17:36:03,2021/08/07,17:37:19,6.53,1.28,0.05,0.039,488.5,117.9,0,8.59
6,68,2021/08/07,17:57:26,2021/08/07,18:02:28,20.12,5.05,0.09,0.018,1938.75,240.24,0,8.68
6,69,2021/08/07,18:19:33,2021/08/07,18:26:10,17.08,6.63,0.066,0.01,2547.86,149.46,0,8.746
6,70,2021/08/07,18:29:05,2021/08/07,18:30:34,2.92,1.5,0.048,0.032,571.56,88.38,0,8.794
6,71,2021/08/07,18:35:33,2021/08/07,18:46:57,4.98,11.42,0.134,0.012,4389.5,414.81,0,8.928
6,72,2021/08/07,18:53:46,2021/08/07,18:58:45,6.82,5,0.73,0.146,1915.41,2037.43,0,9.658
6,73,2021/08/07,19:03:14,2021/08/07,19:06:56,4.48,3.72,0.044,0.012,1421.81,104.68,0,9.702
6,74,2021/08/07,19:18:15,2021/08/07,19:22:06,11.32,3.87,0.007,0.002,1479.21,18.51,0,9.709
6,75,2021/08/07,21:07:05,2021/08/07,21:07:41,104.98,0.62,0.011,0.017,234.4,2.88,0.012,9.719
6,76,2021/08/07,22:29:07,2021/08/07,22:33:41,81.43,4.58,0.09,0.02,1760.99,223.99,0,9.809
6,77,2021/08/07,23:36:51,2021/08/07,23:40:45,63.17,3.92,0.004,0.001,1497.08,11.93,0,9.813
6,78,2021/08/07,23:43:19,2021/08/07,23:44:00,2.57,0.7,0.004,0.006,267.6,10.64,0,9.817
6,79,2021/08/08,00:40:09,2021/08/08,00:41:51,56.15,1.72,0.007,0.004,655.09,9.48,0,9.824
6,80,2021/08/08,00:56:04,2021/08/08,01:02:27,14.22,6.4,0.026,0.004,2451.3,54.17,0,9.85
6,81,2021/08/08,01:06:25,2021/08/08,01:22:03,3.97,15.65,0.031,0.002,6004.55,94.15,0,9.881
6,82,2021/08/08,03:06:53,2021/08/08,03:07:25,104.83,0.55,0.007,0.013,204.22,25.89,0,9.888
6,83,2021/08/08,03:21:52,2021/08/08,03:22:56,14.45,1.08,0.002,0.002,408.45,3.77,0.002,9.89
6,84,2021/08/08,03:28:22,2021/08/08,03:33:19,5.43,4.97,0.004,0.001,1898.88,3.75,0.002,9.894
6,85,2021/08/08,04:30:09,2021/08/08,04:53:30,56.83,23.37,0.581,0.025,8984.73,1668.91,0,10.475
6,86,2021/08/08,05:05:11,2021/08/08,05:11:46,11.68,6.6,0.016,0.002,2521.87,2.24,0.042,10.491
6,87,2021/08/08,13:53:20,2021/08/08,13:54:01,521.57,0.7,0.011,0.015,266.82,18.34,0,10.501
7,1,2021/08/04,11:57:14,2021/08/04,12:06:34,0,9.35,0.138,0.015,3555.65,120.34,0,0.138
7,2,2021/08/04,12:09:25,2021/08/04,12:12:43,2.85,3.32,0.026,0.008,1262.29,30.21,0,0.164
7,3,2021/08/04,13:48:34,2021/08/04,13:55:33,95.85,7,0.331,0.047,2693.59,768.54,0,0.495
7,4,2021/08/04,15:32:09,2021/08/04,15:37:29,96.6,5.35,0.106,0.02,2062.69,261.97,0,0.601
7,5,2021/08/04,16:37:20,2021/08/04,16:42:04,59.85,4.75,0.089,0.019,1822.64,283.22,0,0.69
7,6,2021/08/04,18:19:45,2021/08/04,18:26:13,97.68,6.48,0.23,0.035,2488.2,597.66,0,0.92
7,7,2021/08/04,18:59:48,2021/08/04,19:05:12,33.58,5.42,0.131,0.024,2078.84,330.56,0,1.051
7,8,2021/08/04,19:40:23,2021/08/04,19:44:01,35.18,3.65,0.096,0.026,1392.94,210.02,0,1.146
7,9,2021/08/04,19:56:31,2021/08/04,19:59:23,12.5,2.88,0.046,0.016,1101.45,82.16,0,1.192
7,10,2021/08/04,20:11:16,2021/08/04,20:20:12,11.88,8.95,0.176,0.02,3427.67,372.09,0,1.368
7,11,2021/08/04,20:24:29,2021/08/04,20:28:27,4.28,3.98,0.039,0.01,1505.39,21.29,0,1.407
7,12,2021/08/04,20:40:14,2021/08/04,20:52:07,11.78,11.9,0.193,0.016,4520.59,427.68,0,1.6
7,13,2021/08/04,21:23:04,2021/08/04,21:29:15,30.95,6.2,0.217,0.035,2344.57,381.02,0,1.817
7,14,2021/08/04,21:55:49,2021/08/04,21:58:51,26.57,3.05,0.101,0.033,1150.71,335.16,0,1.918
7,15,2021/08/04,22:41:15,2021/08/04,22:44:52,42.4,3.63,0.068,0.019,1383.51,123.45,0,1.987
7,16,2021/08/04,22:58:30,2021/08/04,23:03:44,13.63,5.25,0.097,0.018,2002.25,264.54,0,2.083
7,17,2021/08/04,23:08:44,2021/08/04,23:16:52,5,8.15,0.106,0.013,3092.2,237.57,0,2.189
7,18,2021/08/04,23:23:05,2021/08/04,23:28:23,6.22,5.32,0.013,0.003,2019.39,19.74,0,2.203
7,19,2021/08/05,00:07:36,2021/08/05,00:15:49,39.22,8.23,0.281,0.034,3146.63,837.83,0,2.484
7,20,2021/08/05,01:11:28,2021/08/05,01:16:07,55.65,4.67,0.042,0.009,1766.11,116.1,0,2.526
7,21,2021/08/05,01:40:50,2021/08/05,01:46:36,24.72,5.78,0.132,0.023,2175.77,32.37,0,2.658
7,22,2021/08/05,05:37:43,2021/08/05,05:46:12,231.12,8.5,0.149,0.018,3207.64,427.92,0,2.807
7,23,2021/08/05,05:56:49,2021/08/05,06:02:48,10.62,6,0.09,0.015,2257.21,220.5,0,2.897
7,24,2021/08/05,06:54:28,2021/08/05,07:02:23,51.67,7.93,0.233,0.029,2984.79,724.72,0,3.129
7,25,2021/08/05,07:50:12,2021/08/05,07:54:26,47.82,4.25,0.099,0.023,1601.04,149.37,0,3.229
7,26,2021/08/05,09:32:56,2021/08/05,09:43:29,98.5,10.57,0.248,0.024,3987.52,512.66,0,3.477
7,27,2021/08/05,09:47:48,2021/08/05,09:49:37,4.32,1.83,0.009,0.005,683.27,22.18,0,3.486
7,28,2021/08/05,09:55:48,2021/08/05,09:56:45,6.18,0.97,0.021,0.022,360.83,28.26,0,3.508
7,29,2021/08/05,13:49:57,2021/08/05,13:55:13,233.2,5.28,0.151,0.029,1998.49,424.02,0,3.659
7,30,2021/08/05,16:48:58,2021/08/05,16:53:14,173.75,4.28,0.978,0.228,1604.68,2186.06,0,4.637
7,31,2021/08/05,20:21:00,2021/08/05,20:25:26,207.77,4.45,0.004,0.001,1663.53,10.17,0,4.64
7,32,2021/08/05,20:31:41,2021/08/05,20:54:17,6.25,22.62,0.253,0.011,8480.67,645.31,0,4.893
7,33,2021/08/05,21:01:48,2021/08/05,21:11:17,7.52,9.5,0.203,0.021,3588.92,235.82,0,5.096
7,34,2021/08/05,21:40:34,2021/08/05,21:43:43,29.28,3.17,0.049,0.015,1186.9,127.66,0,5.145
7,35,2021/08/05,22:09:21,2021/08/05,22:14:43,25.63,5.38,0.127,0.024,2011.6,247.6,0,5.272
