Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
15,28,2021/08/30,18:52:50,2021/08/30,19:03:03,5.27,10.23,0.156,0.015,3807.3,293.39,0,3.424
15,29,2021/08/30,19:06:19,2021/08/30,19:22:55,3.27,16.62,0.233,0.014,6140.82,360.36,0,3.657
15,30,2021/08/30,22:30:01,2021/08/30,22:39:29,187.1,9.48,0.336,0.035,3522.53,693.18,0,3.993
15,31,2021/08/30,22:44:19,2021/08/30,23:01:00,4.83,16.7,0.237,0.014,6163.91,567.4,0,4.23
15,32,2021/08/30,23:04:32,2021/08/30,23:07:56,3.53,3.42,0.132,0.039,1257.91,435.36,0,4.361
15,33,2021/08/30,23:16:33,2021/08/30,23:25:40,8.62,9.13,0.196,0.021,3367.11,308.84,0,4.557
15,34,2021/08/31,00:25:34,2021/08/31,00:29:38,59.9,4.08,0.032,0.008,1503.22,82.19,0,4.589
15,35,2021/08/31,04:26:14,2021/08/31,04:53:16,236.6,27.05,0.409,0.015,10015.13,1343.53,0,4.997
15,36,2021/08/31,05:06:20,2021/08/31,05:16:05,13.07,9.77,0.108,0.011,3621.89,303.89,0,5.105
15,37,2021/08/31,06:50:06,2021/08/31,06:51:25,94.02,1.33,0.003,0.002,485.1,3.94,0.001,5.108
15,38,2021/08/31,16:30:10,2021/08/31,16:38:59,578.75,8.83,0.355,0.04,3282.37,1114.13,0,5.463
15,39,2021/08/31,17:16:34,2021/08/31,17:22:54,37.58,6.35,0.265,0.042,2333.72,690.78,0,5.728
15,40,2021/08/31,18:10:06,2021/08/31,18:11:05,47.2,1,0.003,0.003,360.42,8.1,0,5.73
15,41,2021/08/31,19:02:28,2021/08/31,19:06:21,51.38,3.9,0.003,0.001,1427.07,7.66,0,5.733
15,42,2021/08/31,19:20:07,2021/08/31,19:21:55,13.77,1.82,0.004,0.002,658.67,13.86,0,5.737
15,43,2021/08/31,22:30:02,2021/08/31,22:31:53,188.12,1.87,0.064,0.034,697.58,77.16,0,5.801
15,44,2021/08/31,22:39:37,2021/08/31,22:42:27,7.73,2.85,0.004,0.001,1038.84,12.43,0,5.805
15,45,2021/09/01,02:02:20,2021/09/01,02:07:52,199.88,5.55,0.002,0,2024.23,3.12,0.008,5.807
