Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
1,1,2021/08/11,16:33:56,2021/08/11,16:35:55,0,2,0.123,0.061,664.37,211.9,0,0.123
1,2,2021/08/11,16:52:29,2021/08/11,16:57:20,16.57,4.87,0.063,0.013,1606,101.8,0,0.186
1,3,2021/08/11,17:00:43,2021/08/11,17:04:38,3.38,3.93,0.096,0.024,1299.79,284.01,0,0.282
1,4,2021/08/11,17:18:55,2021/08/11,17:20:32,14.28,1.63,0.054,0.033,540.06,262.28,0,0.336
1,5,2021/08/11,17:29:00,2021/08/11,17:40:07,8.47,11.13,0.084,0.008,3701.16,189.84,0,0.42
1,6,2021/08/11,17:42:41,2021/08/11,17:45:50,2.57,3.17,0.051,0.016,1051.21,100.86,0,0.471
1,7,2021/08/11,18:07:49,2021/08/11,18:10:14,21.98,2.43,0.088,0.036,811.53,195.02,0,0.56
1,8,2021/08/11,18:22:46,2021/08/11,18:24:49,12.53,2.07,0.091,0.044,685.93,174.51,0,0.651
1,9,2021/08/11,18:35:33,2021/08/11,18:40:52,10.73,5.33,0.11,0.021,1771.27,252.48,0,0.761
1,10,2021/08/11,18:44:37,2021/08/11,18:46:24,3.75,1.8,0.004,0.002,589.61,6.56,0,0.765
1,11,2021/08/11,18:50:22,2021/08/11,18:55:15,3.97,4.9,0.163,0.033,1637.25,194.61,0,0.928
1,12,2021/08/11,18:58:34,2021/08/11,19:02:19,3.32,3.77,0.039,0.01,1245.82,79.73,0,0.967
1,13,2021/08/11,19:19:44,2021/08/11,19:22:06,17.42,2.38,0.113,0.047,781.55,190.23,0,1.079
1,14,2021/08/11,19:41:29,2021/08/11,20:02:34,19.38,21.1,0.166,0.008,6980.74,475.04,0,1.245
1,15,2021/08/11,20:05:47,2021/08/11,20:16:06,3.22,10.33,0.045,0.004,3410.97,61.76,0,1.29
1,16,2021/08/11,20:19:05,2021/08/11,20:31:26,2.98,12.37,0.071,0.006,4079.86,195.41,0,1.362
1,17,2021/08/11,20:42:19,2021/08/11,20:46:49,10.88,4.52,0.186,0.041,1502.41,398.93,0,1.547
1,18,2021/08/11,20:58:05,2021/08/11,21:06:53,11.27,8.82,0.138,0.016,2908.58,250.03,0,1.685
1,19,2021/08/11,21:20:59,2021/08/11,21:24:59,14.1,4.02,0.068,0.017,1318.61,159.63,0,1.753
1,20,2021/08/11,22:16:24,2021/08/11,22:18:38,51.42,2.25,0.064,0.029,735.83,158.9,0,1.817
1,21,2021/08/11,22:42:15,2021/08/11,22:44:25,23.62,2.18,0.096,0.044,721.62,274.08,0,1.913
1,22,2021/08/11,22:46:58,2021/08/11,22:50:08,2.55,3.18,0.024,0.008,1040.04,61.21,0,1.938
1,23,2021/08/11,22:55:42,2021/08/11,22:59:16,5.57,3.58,0.124,0.035,1193.78,556.19,0,2.061
1,24,2021/08/11,23:02:35,2021/08/11,23:06:35,3.32,4.02,0.035,0.009,1314.3,58.79,0,2.097
1,25,2021/08/11,23:10:33,2021/08/11,23:12:27,3.97,1.92,0.013,0.007,626.56,8.06,0,2.109
1,26,2021/08/11,23:16:14,2021/08/11,23:30:33,3.78,14.33,0.202,0.014,4735.71,409.56,0,2.311
1,27,2021/08/12,00:35:45,2021/08/12,00:51:28,65.2,15.73,0.247,0.016,5199.03,630.51,0,2.558
1,28,2021/08/12,00:55:16,2021/08/12,00:55:57,3.8,0.7,0.01,0.015,223.63,38.21,0,2.569
1,29,2021/08/12,01:00:34,2021/08/12,01:12:39,4.62,12.1,0.186,0.015,3981.21,205.19,0,2.755
1,30,2021/08/12,01:25:28,2021/08/12,01:27:43,12.82,2.27,0.075,0.033,746.55,220.06,0,2.83
1,31,2021/08/12,02:30:25,2021/08/12,02:32:51,62.7,2.45,0.184,0.075,801.66,443.27,0,3.014
1,32,2021/08/12,02:44:15,2021/08/12,02:46:22,11.4,2.13,0.022,0.01,695.34,41.93,0,3.035
