Date_Time_1,subjectID,Group,actual_allmeters,actual_foodupa,actual_pedmeters,actual_waterupa,actual_wheelmeters,bodymass,kcal_hr,rq,vco2,vh2o,vo2,xbreak,ybreak
10/10/2021 8:27,13,Control,5.568520000000001,0.0,5.0337,0.13776492,147.39090000000004,17.29233,0.5224959,0.9279218,1.627209,0.3299313,1.753,235.0,293.0
10/10/2021 8:27,14,Group_3,8.495630000000002,0.0,7.526100000000003,0.1896337,147.32621999999998,16.84931,0.5224847,0.9138475,1.606115,0.3240965,1.758872,534.0,568.0
10/10/2021 8:27,15,Group_3,5.841330000000001,0.11357956999999999,4.9945650000000015,0.0673768,127.15559999999999,16.77756,0.536341,0.8894029,1.613289,0.3265924,1.815458,219.0,284.0
10/10/2021 8:27,16,Group_2,8.448008999999999,0.1506497,7.779464,0.03081588,87.58139,16.22291,0.4941959,0.9309587,1.542098,0.2674904,1.657203,309.0,388.0
10/10/2021 8:27,2,Group_3,3.960692999999999,0.21966957,3.4104340000000004,0.1469683,161.54070000000002,18.24743,0.5303807,0.8841769,1.588644,0.2646642,1.797168,168.0,220.0
10/10/2021 8:27,3,Group_2,5.087839999999998,0.061813889999999996,4.3976120000000005,0.07004639999999998,146.69985,17.00931,0.5373328,0.9160904,1.654716,0.2695818,1.808026,246.0,273.0
10/10/2021 8:27,4,Control,6.4453299999999984,0.1659815,5.47725,0.049920400000000004,53.089999999999975,18.37481,0.5228311,0.9102108,1.603146,0.2575094,1.761171,202.0,365.0
10/10/2021 8:27,5,Group_2,7.692520000000002,0.003368283,6.921881000000001,0.054760939999999994,158.02139999999997,15.07312,0.5172348,0.7980221,1.425612,0.2372431,1.787326,232.0,220.0
10/10/2021 8:27,6,Group_3,5.195359999999999,0.0,4.410270000000001,0.018671389999999996,121.27285,17.78947,0.5635647,0.8612795,1.651729,0.3131948,1.9198,181.0,252.0
10/10/2021 8:27,7,Control,3.8347399999999983,0.1030329,3.48672,0.0,231.168,15.69722,0.5225062,0.9032609,1.592371,0.2470642,1.76282,157.0,169.0
