StartDate,StartTime,Cage,In_g
10/7/2020,6:47:56 PM,1,0.206
10/7/2020,7:10:40 PM,1,0.259
10/7/2020,8:59:42 PM,1,0.288
10/7/2020,9:24:15 PM,1,0.039
10/7/2020,9:31:31 PM,1,0.279
10/8/2020,12:50:08 AM,1,0.901
10/8/2020,4:08:01 AM,1,0.026
10/8/2020,4:53:26 AM,1,0.008
10/8/2020,4:57:31 AM,1,0.029
10/8/2020,5:05:36 AM,1,0.243
10/8/2020,6:52:33 AM,1,0.238
10/8/2020,7:13:27 AM,1,0.021
10/8/2020,7:23:28 AM,1,0.008
10/8/2020,8:59:55 AM,1,0.006
10/8/2020,9:37:16 AM,1,0.005
10/8/2020,11:20:18 AM,1,0.004
10/8/2020,11:44:05 AM,1,0.004
10/8/2020,1:06:11 PM,1,0.002
10/8/2020,1:27:01 PM,1,0.003
10/8/2020,5:11:58 PM,1,0.004
10/8/2020,7:52:56 PM,1,0.005
10/8/2020,7:59:44 PM,1,0.004
10/8/2020,10:02:16 PM,1,0.007
10/8/2020,10:23:45 PM,1,0.006
10/8/2020,10:29:13 PM,1,0.002
10/8/2020,11:48:15 PM,1,0.005
10/9/2020,12:38:52 AM,1,0.018
10/9/2020,10:38:46 AM,1,0.171
10/9/2020,11:18:23 AM,1,0.555
10/9/2020,12:17:22 PM,1,0.206
10/9/2020,1:34:52 PM,1,0.629
10/9/2020,1:56:53 PM,1,0.001
10/9/2020,3:21:46 PM,1,0.055
10/9/2020,3:56:33 PM,1,0.441
10/9/2020,5:39:53 PM,1,0.284
10/9/2020,6:40:13 PM,1,0.389
10/9/2020,7:37:50 PM,1,0.282
10/9/2020,8:12:25 PM,1,0.261
10/9/2020,10:53:31 PM,1,0.238
10/9/2020,11:04:47 PM,1,0.047
10/10/2020,12:35:55 AM,1,0.451
10/10/2020,2:32:40 AM,1,0.361
10/10/2020,3:13:53 AM,1,0.018
10/10/2020,4:37:32 AM,1,0.85
10/10/2020,11:42:00 AM,1,0.002
10/10/2020,1:31:48 PM,1,0.005
10/10/2020,2:32:34 PM,1,0.004
10/10/2020,3:28:19 PM,1,0.004
10/10/2020,7:04:04 PM,1,0.003
