Date_Time_1,subjectsID,,actual_foodupa,kcal,kcal_mean,actual_allmeters,bodymass,rq,actual_pedmeters,vco2,vo2,locomotion,actual_waterupa
8/4/2021 13:00,12,Six_Meal,0,1.1110947,0.277773675,0.0260175,23.2178675,0.760655925,0,0.736376875,0.968061075,7.5,0
8/4/2021 13:00,16,Six_Meal,0,1.2170655,0.304266375,0.13418,25.86562,0.741878875,0.0177175,0.789448425,1.06520575,33,0
8/4/2021 13:00,2,Three_Meal,0,1.2769179,0.319229475,0.5549625,24.0387875,0.815928325,0.2982325,0.897361425,1.0982005,152,0
8/4/2021 13:00,6,Three_Meal,0,1.2944797,0.323619925,0.0706,24.41318,0.758514,0.005089,0.8555988,1.1284885,24.25,0
8/4/2021 13:00,8,Three_Meal,0,1.0317799,0.257944975,0.27420225,20.82808,0.758950875,0.26107125,0.683595325,0.899016975,0,0
8/4/2021 13:00,11,Three_Meal,0.00247196,1.1012203,0.275305075,0.406008,20.6576725,0.771999,0.3274795,0.739704625,0.956687425,34.25,0.000492401
8/4/2021 13:00,14,Three_Meal,0,1.2170795,0.304269875,0.9065425,21.9647,0.7573869,0.8011575,0.806377925,1.0604694,107.5,0.00949362
8/4/2021 13:00,15,Three_Meal,0,1.1708763,0.292719075,0.17864,26.12805,0.75752245,0.0195675,0.7732067,1.020930125,26.75,0
8/4/2021 14:00,1,Control,0.0684511,0.9600536,0.2400134,0.3301925,23.8607025,0.8596498,0.2863475,0.704022675,0.8174509,33,0
8/4/2021 14:00,4,Control,0.1090414,1.5326178,0.38315445,1.760675,25.48441,0.857582275,1.202748,1.122749525,1.3052895,228,0.00180062
8/4/2021 14:00,7,Control,0.1414097,1.3498179,0.337454475,1.0539375,25.534495,0.8470324,0.7195875,0.980532875,1.151934,123.75,0.02081299
8/4/2021 14:00,10,Control,0.044027,1.4208007,0.355200175,0.64751275,22.72945,0.845512425,0.5420775,1.027956125,1.2136725,0,0.0146897
8/4/2021 14:00,13,Control,0.2226179,1.6750457,0.418761425,1.267145,26.3726725,0.886510675,0.90084,1.263279275,1.416435,168.75,0.06393432
8/4/2021 14:00,3,Six_Meal,0,1.3419776,0.3354944,0.0484825,27.32666,0.743662025,0.00834075,0.873284275,1.17374275,13.75,0
8/4/2021 14:00,5,Six_Meal,0,1.5101303,0.377532575,0.7215225,22.81438,0.925768475,0.42134775,1.1743235,1.26704125,102.25,0
8/4/2021 14:00,9,Six_Meal,0.00496487,1.3520009,0.338000225,0.78469,26.34409,0.80245705,0.49049975,0.9374209,1.1663411,52.75,0.00784373
8/4/2021 14:00,12,Six_Meal,0,1.2330953,0.308273825,0.5728875,22.7811975,0.779901625,0.3995425,0.83950805,1.06810505,77,0
8/4/2021 14:00,16,Six_Meal,0,1.3664767,0.341619175,0.335615,25.86562,0.755727425,0.0956875,0.901897,1.19161475,82.25,0.00357051
8/4/2021 14:00,2,Three_Meal,0.00341799,1.1533785,0.288344625,0.53445,24.255385,0.7720931,0.2492275,0.775351525,1.001828225,67.5,0.0071105
8/4/2021 14:00,6,Three_Meal,0.006713867,1.4961954,0.37404885,0.8871665,24.41318,0.748722275,0.5540685,0.98426965,1.3056445,130.25,0.002838135
8/4/2021 14:00,8,Three_Meal,0.2948911,1.1723795,0.293094875,0.89863475,20.76035,0.76597055,0.78023,0.785512325,1.019065975,72.5,0
8/4/2021 14:00,11,Three_Meal,0.03387424,1.3168078,0.32920195,1.1887425,20.6798125,0.7614934,0.9818585,0.87562315,1.1464754,109.5,0.033386226
8/4/2021 14:00,14,Three_Meal,0,1.0182973,0.254574325,0.4980975,21.90096,0.7396636,0.4573625,0.659801775,0.89143985,9.5,0.00985459
8/4/2021 14:00,15,Three_Meal,0,1.2248859,0.306221475,0.107265,26.12805,0.77408825,0.0191075,0.82337755,1.06395225,19.25,0
